	cluster28	[TRIGGERPRI,JJ,VBG]	[3.175320508597211,3.678891108151822,3.8808829458212504]
	cluster29	[TRIGGERPRI,VBD,NNS]	[3.297282765944453,3.976295664695699,4.135508859506371]
		[TRIGGERPRI,VBD,#]	[3.297282765944453,3.976295664695699,4.135508859506371]
		[TRIGGERPRI,VBD,PRP]	[3.297282765944453,3.976295664695699,4.135508859506371]
		[TRIGGERPRI,VBD,CC]	[3.297282765944453,3.976295664695699,4.135508859506371]
		[TRIGGERPRI,VBD,CD]	[3.297282765944453,3.976295664695699,4.135508859506371]
	cluster30	[TRIGGERPRI,IN,JJ]	[6.325988376137175,7.543090285109846,10.725831216374036]
	cluster31	[TRIGGERPRI,MD,CC]	[3.359291661101172,3.6142579525518244,4.265465810562319]
		[TRIGGERPRI,VBG,TO]	[3.359291661101172,3.6142579525518244,4.265465810562319]
		[TRIGGERPRI,#,#]	[3.359291661101172,3.6142579525518244,4.265465810562319]
		[TRIGGERPRI,VBG,JJ]	[3.359291661101172,3.6142579525518244,4.265465810562319]
	cluster32	[TRIGGERPRI,VBP,JJ]	[5.65821248098075,6.07407264666536,9.2421311211653]
	cluster33	[TRIGGERPRI,NNS,WDT]	[4.547863349913815,5.293083081212132,6.807038854793946]
	cluster34	[TRIGGERPRI,VBN,NNS]	[4.207580148401469,4.652969023473235,6.071030004815716]
		[TRIGGERPRI,NNS,VBD]	[4.204413765350553,4.938382759337776,6.06420868246456]
		[TRIGGERPRI,#,#]	[4.205217806531113,4.747754634126454,6.0659408502246634]
		[TRIGGERPRI,RB,VBG]	[4.203659505841318,4.651912119568353,6.062583863393714]
	cluster35	[TRIGGERPRI,TO,VB]	[5.671681432417706,6.014722033154752,9.271931809708908]
	cluster36	[TRIGGERPRI,NN,VBZ]	[7.153344310244771,10.19458978446115,12.579411396148586]
	cluster37	[TRIGGERPRI,CC,JJ]	[5.8325459185452315,8.132478905327103,9.628270963616318]
	cluster38	[TRIGGERPRI,NNS,VBP]	[5.124504527806498,5.88747105213899,8.06598991168918]
	cluster39	[TRIGGERPRI,JJ,NNS]	[4.642464983324894,5.184566758374151,7.012626758983327]
	cluster40	[TRIGGERPRI,WDT,VBZ]	[4.332347648958113,4.610720846768587,6.340230079372251]
	cluster41	[TRIGGERPRI,VBZ,IN]	[6.678282762951957,8.185274943552308,11.513215577323589]
		[TRIGGERPRI,VBZ,RB]	[6.678282762951957,8.185274943552308,11.513215577323589]
		[TRIGGERPRI,VBZ,#]	[6.678282762951957,8.185274943552308,11.513215577323589]
	cluster42	[TRIGGERPRI,CC,VBP]	[4.799623976937525,7.020950944535025,7.355024024844358]
		[TRIGGERPRI,CC,#]	[4.799623976937525,7.020950944535025,7.355024024844358]
		[TRIGGERPRI,CC,TO]	[4.799623976937525,7.020950944535025,7.355024024844358]
	cluster43	[TRIGGERPRI,CD,JJ]	[5.29217942492849,5.431442070875861,8.434464979576115]
	cluster44	[TRIGGERPRI,VBD,DT]	[5.293333223902165,6.037313120362209,8.437003933049883]
	cluster45	[TRIGGERPRI,CC,MD]	[4.86991654038955,7.096903678111731,7.508501153244614]
	cluster46	[TRIGGERPRI,MD,RB]	[5.005973798396933,5.282334713170462,7.80612723387706]
		[TRIGGERPRI,VBG,IN]	[5.005973798396933,5.282334713170462,7.80612723387706]
		[TRIGGERPRI,TO,DT]	[5.002940308175563,5.337081352672073,7.7994836381495825]
		[TRIGGERPRI,#,#]	[5.004457053286248,5.309708032921268,7.802805436013321]
	cluster47	[TRIGGERPRI,NN,MD]	[5.430017922569594,8.325637337291827,8.738099722257303]
		[TRIGGERPRI,NN,#]	[5.430017922569594,8.325637337291827,8.738099722257303]
		[TRIGGERPRI,NN,CD]	[5.430017922569594,8.325637337291827,8.738099722257303]
	cluster48	[TRIGGERPRI,MD,VB]	[4.03750643307666,4.301965532334401,5.705411691396696]
	cluster49	[TRIGGERPRI,MD,IN]	[3.0939617992084543,3.3448555742643613,3.711792458056478]
		[TRIGGERPRI,#,#]	[3.0939617992084543,3.3448555742643613,3.711792458056478]
		[TRIGGERPRI,VBG,PRP$]	[3.0939617992084543,3.3448555742643613,3.711792458056478]
		[TRIGGERPRI,VBG,RB]	[3.0939617992084543,3.3448555742643613,3.711792458056478]
	cluster50	[TRIGGERPRI,VBG,NNS]	[5.19260558128803,5.471090238778795,8.215525545109124]
	cluster51	[TRIGGERPRI,NNS,IN]	[6.187595792242184,6.98032925732133,10.417353541901011]
	cluster52	[TRIGGERPRI,NNS,RB]	[3.7221791791217522,4.43929972970501,5.032028194463486]
		[TRIGGERPRI,NNS,CC]	[3.7221791791217522,4.43929972970501,5.032028194463486]
