index0	cluster1	[TRIGGERPRI,CC,PROTEINT]	[11.774119473214144,15.463220903440062,23.132921050966928]
	cluster2	[TRIGGERPRI,CC,VB]	[6.273334356706409,9.54756983967872,10.608407765846042]
	cluster3	[TRIGGERPRI,VBP,DT]	[8.859945982584563,9.591578627468037,16.444009964737518]
		[TRIGGERPRI,#,#]	[8.85967864465669,9.98541924457487,16.443400983251173]
		[TRIGGERPRI,IN,JJ]	[8.859411306728818,10.379259861681703,16.442792001764825]
	cluster4	[TRIGGERPRI,PROTEINT,CC]	[13.844280888418467,20.211911238263713,27.93245115489322]
	cluster5	[TRIGGERPRI,MD,VB]	[5.635417686594852,7.344993485523395,9.191709171627515]
	cluster6	[TRIGGERPRI,@,@]	[4.216233351070826,6.089674254021298,6.089674254021298]
	cluster7	[TRIGGERPRI,CC,JJ]	[11.960075479763223,15.66105909271213,23.56265566494556]
	cluster8	[TRIGGERPRI,VBD,VBN]	[8.762507651456193,9.415344517695807,16.222117236415535]
	cluster9	[TRIGGERPRI,PROTEINT,PROTEINT]	[13.95241154653989,20.329689299152186,28.184005688510567]
	cluster10	[TRIGGERPRI,PROTEINT,VBP]	[7.885682356572074,13.638751607590358,14.23178025764968]
	cluster11	[TRIGGERPRI,NN,IN]	[8.748772374421055,10.940878376950993,16.19084923741828]
		[TRIGGERPRI,#,#]	[8.750118845592478,9.861486538761733,16.193914346026755]
		[TRIGGERPRI,DT,NN]	[8.749019637899412,9.207864537584761,16.191412102412627]
		[TRIGGERPRI,VBG,PROTEINT]	[8.752564524456968,9.435716701749449,16.19948169824935]
	cluster12	[TRIGGERPRI,CC,WP]	[5.570591448973083,8.778293223602923,9.048401474492058]
		[TRIGGERPRI,CC,#]	[5.570591448973083,8.778293223602923,9.048401474492058]
		[TRIGGERPRI,CC,VBG]	[5.570591448973083,8.778293223602923,9.048401474492058]
	cluster13	[TRIGGERPRI,NNP,JJ]	[3.5804617640101104,3.6909658015402353,4.731505853382382]
		[TRIGGERPRI,NNP,#]	[3.5804617640101104,3.6909658015402353,4.731505853382382]
		[TRIGGERPRI,NNP,MD]	[3.5804617640101104,3.6909658015402353,4.731505853382382]
	cluster14	[TRIGGERPRI,NN,@]	[9.089909713238567,11.29923633046086,16.968221162598592]
	cluster15	[TRIGGERPRI,NNS,IN]	[6.116995479349518,6.957917393019016,10.260175578591824]
	cluster16	[TRIGGERPRI,#,#]	[9.390374409481687,10.677778506504364,17.65420760326556]
		[TRIGGERPRI,IN,DT]	[9.389304582812217,10.92820592368521,17.651763017206427]
		[TRIGGERPRI,VBZ,VBN]	[9.391444236151157,10.427351089323517,17.656652189324696]
	cluster17	[TRIGGERPRI,PROTEINT,@]	[8.690457652471629,14.538906238765467,16.05812745516861]
	cluster18	[TRIGGERPRI,VBP,VBN]	[9.344979466726333,10.085504490178751,17.550491925901422]
	cluster19	[TRIGGERPRI,VB,VBN]	[7.812443338160106,7.873029501129036,14.066094201132515]
		[TRIGGERPRI,#,#]	[7.808738279176793,7.871249484809477,14.05771495420273]
		[TRIGGERPRI,PRP,MD]	[7.805033220193479,7.8694694684899185,14.049335707272945]
	cluster20	[TRIGGERPRI,JJ,IN]	[10.665864074300679,12.27830923557119,20.57836949297338]
	cluster21	[TRIGGERPRI,NNS,VBD]	[4.097259670570359,4.87411377618355,5.833685071120371]
	cluster22	[TRIGGERPRI,NN,PROTEINT]	[12.370907871988043,14.730284483937941,24.513104351371055]
	cluster23	[TRIGGERPRI,VBD,DT]	[7.768084093252554,8.403593894719403,13.965786964104836]
	cluster24	[TRIGGERPRI,NNS,@]	[7.221517243257787,8.092133468100942,12.73280033767406]
		[TRIGGERPRI,JJR,NNS]	[7.225712194620691,7.241661727707764,12.742241995147477]
		[TRIGGERPRI,#,#]	[7.223614718939238,7.666897597904352,12.737521166410769]
	cluster25	[TRIGGERPRI,VBN,NNS]	[5.636312745433708,5.910648177194188,9.193688736426584]
	cluster26	[TRIGGERPRI,IN,PROTEINT]	[10.295186364688828,11.865324984016153,19.72667395283802]
	cluster27	[TRIGGERPRI,VBG,CC]	[5.453230009611807,6.070371989568207,8.789294139029128]
	cluster28	[TRIGGERPRI,#,#]	[6.578367752192506,7.71994294726125,11.289605618237811]
		[TRIGGERPRI,NNS,VBG]	[6.575170452276529,7.428760836184188,11.282453745091672]
		[TRIGGERPRI,IN,CD]	[6.581565052108483,8.011125058338312,11.29675749138395]
	cluster29	[TRIGGERPRI,VBD,IN]	[6.053882012449051,6.6562432683363495,10.119777420298322]
	cluster30	[TRIGGERPRI,NN,CC]	[6.376865094564557,8.437023585909477,10.839356927365431]
	cluster31	[TRIGGERPRI,JJ,NN]	[9.782208996480541,11.364307972145859,18.550515556843216]
	cluster32	[TRIGGERPRI,PROTEINT,NN]	[10.132278127241367,16.13996284679661,19.352833749095176]
	cluster33	[TRIGGERPRI,NN,NNS]	[7.958298304944537,10.108994593999556,14.396147129851158]
		[TRIGGERPRI,#,#]	[7.960344382963525,10.744740609628499,14.400779771155051]
		[TRIGGERPRI,CC,DT]	[7.962390460982514,11.380486625257442,14.405412412458944]
	cluster34	[TRIGGERPRI,VBZ,RB]	[7.721962538775901,8.714478772108672,13.86153123925559]
	cluster35	[TRIGGERPRI,CD,NN]	[9.308329489383734,10.013888619874376,17.46677549660516]
	cluster36	[TRIGGERPRI,RB,@]	[6.1266063728458775,6.621828883818541,10.281564666935306]
	cluster37	[TRIGGERPRI,NNS,VBZ]	[3.605571443875072,4.36389126239937,4.78464957388219]
		[TRIGGERPRI,NNS,#]	[3.605571443875072,4.36389126239937,4.78464957388219]
		[TRIGGERPRI,NNS,TO]	[3.605571443875072,4.36389126239937,4.78464957388219]
	cluster38	[TRIGGERPRI,PROTEINT,MD]	[8.907606064744403,14.780931233813565,16.55259312727833]
	cluster39	[TRIGGERPRI,VBG,IN]	[7.66655595964029,8.329871054824851,13.736336902319028]
		[TRIGGERPRI,#,#]	[7.665251069370157,8.004992688105638,13.733389103081302]
		[TRIGGERPRI,JJR,NN]	[7.663946179100025,7.680114321386426,13.730441303843577]
	cluster40	[TRIGGERPRI,IN,NNS]	[7.531691678015161,9.00079166745281,13.43183441531401]
	cluster41	[TRIGGERPRI,NN,MD]	[7.191857180214766,9.300110935147256,12.666053845267271]
	cluster42	[TRIGGERPRI,VB,PRP$]	[7.640350364248432,7.700624372502936,13.677142962556589]
		[TRIGGERPRI,TO,VB]	[7.646755504993328,7.822543532858103,13.691609936412569]
		[TRIGGERPRI,#,#]	[7.64355293462088,7.761583952680519,13.684376449484578]
	cluster43	[TRIGGERPRI,VBP,NN]	[3.912070170699021,4.529512878467884,5.436807645153046]
	cluster44	[TRIGGERPRI,NN,VBZ]	[6.095272273616612,8.137983523511284,10.211839515972073]
	cluster45	[TRIGGERPRI,NNP,@]	[5.384470398460747,5.5047569855945095,8.637695865802833]
		[TRIGGERPRI,#,#]	[5.385939472740754,5.906866722889653,8.640933220160754]
		[TRIGGERPRI,VBZ,JJ]	[5.387408547020759,6.3089764601847955,8.644170574518675]
	cluster46	[TRIGGERPRI,NNS,PROTEINT]	[9.137797655197717,10.054293380664213,17.077473906699822]
		[TRIGGERPRI,#,#]	[9.138725632003997,10.70287717535394,17.079591324126508]
		[TRIGGERPRI,NN,NN]	[9.139653608810274,11.35146097004367,17.081708741553193]
	cluster47	[TRIGGERPRI,IN,VBG]	[5.144199417566236,6.506958222737746,8.109218553365066]
	cluster48	[TRIGGERPRI,PROTEINT,VBZ]	[8.221501750759355,14.015009267735454,14.992643146249321]
	cluster49	[TRIGGERPRI,VBZ,PROTEINT]	[4.318411184188801,5.2011889664260815,6.310121180701502]
	cluster50	[TRIGGERPRI,RB,PROTEINT]	[3.8166139848506146,4.266443924811075,5.2330409495633035]
	cluster51	[TRIGGERPRI,WDT,VBD]	[5.423012934945289,5.557391719125916,8.722653641208854]
	cluster52	[TRIGGERPRI,NN,VBG]	[4.860889928904028,6.820797398877069,7.488781211449729]
	cluster53	[TRIGGERPRI,PROTEINT,CD]	[8.821644126712346,14.685162497633392,16.356770548645002]
	cluster54	[TRIGGERPRI,RB,IN]	[8.64803079334565,9.182214422380746,15.961596665845377]
	cluster55	[TRIGGERPRI,#,#]	[5.846956539166744,7.256994551872567,9.66022970569915]
		[TRIGGERPRI,IN,IN]	[5.848657022115069,7.245379926054863,9.664001250759185]
