-1	2	0-0,0-0,1-12,10-11	3.2148610084243185E-4
-1	2	0-0,0-0,3-16,10-65	3.198869509508209E-4
-1	2	0-0,0-0,2-9,11-92	3.2228442698061037E-4
-1	2	3-8,6-26,0-0,0-0	3.248509385309846E-4
-1	2	0-0,0-0,1-12,10-19	3.2148610084243185E-4
-1	2	6-12,3-1,0-0,0-0	3.3196110305843616E-4
-1	2	0-0,0-0,3-9,10-98	3.2208700926734853E-4
-1	2	0-0,0-0,2-9,11-97	3.2228442698061037E-4
-1	2	3-45,17-5,0-0,0-0	3.2526025475257685E-4
-1	2	8-17,3-57,0-0,0-0	3.2701884610666823E-4
-1	2	0-0,0-0,6-68,3-1	6.662630345355323E-4
-1	2	3-16,7-20,0-0,0-0	4.425100718230006E-4
-1	2	3-8,11-136,0-0,0-0	3.218842840063301E-4
-1	2	0-0,0-0,7-1,3-37	5.258509473849408E-4
-1	2	3-16,9-16,0-0,0-0	3.198869509508209E-4
-1	2	0-0,0-0,17-16,3-13	0.0010382546091403458
-1	2	3-39,11-17,0-0,0-0	3.3121034325126164E-4
-1	2	0-0,0-0,3-18,10-33	3.266297695956536E-4
-1	2	15-37,3-13,0-0,0-0	4.4512321697776823E-4
-1	2	0-0,0-0,10-22,3-64	5.258509473849408E-4
-1	2	0-0,0-0,1-12,10-24	3.240477295806415E-4
-1	2	10-80,3-20,0-0,0-0	4.610188148197387E-4
-1	2	0-0,0-0,1-12,10-26	3.2148610084243185E-4
-1	2	0-0,0-0,2-9,11-81	3.2228442698061037E-4
-1	2	0-0,0-0,6-84,3-13	8.869798584877802E-4
-1	2	4-15,3-18,0-0,0-0	3.614117183797454E-4
-1	2	0-0,0-0,10-135,3-93	8.669816421713657E-4
-1	2	3-36,9-34,0-0,0-0	3.217797676393595E-4
-1	2	0-0,0-0,3-20,10-125	3.2452378896375306E-4
-1	2	5-15,3-47,0-0,0-0	3.37165314700536E-4
-1	2	0-0,0-0,3-13,10-72	3.217061310171615E-4
-1	2	0-0,0-0,3-50,6-9	3.2538783280732615E-4
-1	2	0-0,0-0,1-12,18-6	3.2148610084243185E-4
-1	2	3-16,11-101,0-0,0-0	3.208319634135887E-4
-1	2	3-20,15-130,0-0,0-0	3.207936717751333E-4
-1	2	3-10,7-49,0-0,0-0	3.799416934242178E-4
-1	2	3-44,6-116,0-0,0-0	4.4512321697776823E-4
-1	2	3-28,6-4,0-0,0-0	4.872262748766675E-4
-1	2	8-10,3-128,0-0,0-0	3.6792346663793764E-4
-1	2	0-0,0-0,2-53,5-72	3.325148328768707E-4
-1	2	0-0,0-0,2-9,4-50	3.2228442698061037E-4
-1	2	8-6,3-109,0-0,0-0	3.6792346663793764E-4
-1	2	0-0,0-0,3-18,10-19	3.305414568886196E-4
-1	2	0-0,0-0,3-13,10-65	3.217061310171615E-4
-1	2	0-0,0-0,2-18,19-10	3.2374079355853224E-4
-1	2	3-58,10-114,0-0,0-0	3.492985125742773E-4
-1	2	3-50,5-18,0-0,0-0	3.3196110305843616E-4
-1	2	0-0,0-0,1-41,11-11	3.8955996318550747E-4
-1	2	3-51,10-60,0-0,0-0	4.4512321697776823E-4
-1	2	0-0,0-0,22-4,3-127	8.669816421713657E-4
-1	2	0-0,0-0,6-88,3-26	8.669816421713657E-4
-1	2	3-20,7-12,0-0,0-0	3.226533400416937E-4
-1	2	3-39,11-83,0-0,0-0	3.3751892275907014E-4
-1	2	0-0,0-0,1-14,18-2	3.235337761126044E-4
-1	2	0-0,0-0,16-13,3-8	8.669816421713657E-4
-1	2	3-20,13-22,0-0,0-0	3.207936717751333E-4
-1	2	6-56,3-58,0-0,0-0	8.669816421713657E-4
-1	2	3-13,5-27,0-0,0-0	3.217061310171615E-4
-1	2	0-0,0-0,2-109,11-1	5.258509473849408E-4
-1	2	11-74,3-11,0-0,0-0	3.39514889299798E-4
-1	2	0-0,0-0,6-24,3-9	5.019285745790676E-4
