index0	cluster1	[TRIGGERPRI,NN,NN]	[7.28572181226358,9.27529692375307,12.877344802124252]
	cluster2	[TRIGGERPRI,IN,JJ]	[5.789511179784457,6.874251922787739,9.532867796866144]
	cluster3	[TRIGGERPRI,@,@]	[3.334839550798422,4.214180821866226,4.214180821866226]
	cluster4	[TRIGGERPRI,PROTEINT,NN]	[7.237245622348908,10.121778936038922,12.768202298560176]
		[TRIGGERPRI,#,#]	[7.235859388350213,9.671534713998588,12.76508193904734]
		[TRIGGERPRI,NN,CC]	[7.234473154351518,9.221290491958253,12.761961579534503]
	cluster5	[TRIGGERPRI,NN,IN]	[7.260263637663336,9.248470200269603,12.820020824236227]
	cluster6	[TRIGGERPRI,NNS,VBG]	[3.477679770515447,4.358194235451629,4.514456747438878]
	cluster7	[TRIGGERPRI,VBG,NN]	[5.309214490454632,5.674819533942516,8.471955561352086]
	cluster8	[TRIGGERPRI,PROTEINT,VBG]	[5.306187619639385,8.0344547978168,8.465293331431505]
	cluster9	[TRIGGERPRI,VBZ,DT]	[6.730327151341791,7.778326752954723,11.629781286592372]
	cluster10	[TRIGGERPRI,NN,NNS]	[5.909102267105946,7.820237036574974,9.798119405872914]
	cluster11	[TRIGGERPRI,CD,NN]	[5.528590426268369,5.8973107517127055,8.955622319235562]
		[TRIGGERPRI,#,#]	[5.528364871295667,5.933780379057525,8.955124225633874]
		[TRIGGERPRI,DT,PROTEINT]	[5.528139316322964,5.970250006402346,8.954626132032185]
	cluster12	[TRIGGERPRI,CC,PROTEINT]	[7.738792557952193,10.222769476918439,13.899570411157107]
	cluster13	[TRIGGERPRI,PROTEINT,CC]	[9.821791387404017,12.881551213341895,18.641162411212157]
	cluster14	[TRIGGERPRI,PROTEINT,PROTEINT]	[9.732641684535603,12.786820586487407,18.43702869523647]
	cluster15	[TRIGGERPRI,NNS,IN]	[6.2440661180765105,7.22985090106241,10.54316715150468]
	cluster16	[TRIGGERPRI,IN,PROTEINT]	[6.511731850119487,7.622445892092204,11.140603225001428]
	cluster17	[TRIGGERPRI,WDT,VBZ]	[5.2921152148660004,5.5719895718170065,8.434323685630151]
	cluster18	[TRIGGERPRI,RB,@]	[4.788273024000423,5.123355363304705,7.330259232621938]
	cluster19	[TRIGGERPRI,IN,NN]	[6.327533428606146,7.431791350040115,10.729277880768354]
	cluster20	[TRIGGERPRI,CC,DT]	[7.022628901277537,9.460817145259234,12.28556549817511]
	cluster21	[TRIGGERPRI,VBG,VBN]	[3.2343516125716194,3.5653684397646224,4.003958105488049]
		[TRIGGERPRI,VBG,#]	[3.2343516125716194,3.5653684397646224,4.003958105488049]
		[TRIGGERPRI,VBG,NNP]	[3.2343516125716194,3.5653684397646224,4.003958105488049]
		[TRIGGERPRI,VBG,JJ]	[3.2343516125716194,3.5653684397646224,4.003958105488049]
	cluster22	[TRIGGERPRI,NNS,NNP]	[3.6973238264729,4.5878458222098395,4.979219879011501]
		[TRIGGERPRI,#,#]	[3.696610324555543,4.459039417213003,4.977704591046592]
		[TRIGGERPRI,VBD,CD]	[3.6958968226381868,4.330233012216165,4.976189303081682]
	cluster23	[TRIGGERPRI,VBN,JJ]	[4.334546112604163,4.761430493878831,6.344980616223534]
	cluster24	[TRIGGERPRI,VBP,JJ]	[5.7329723978995695,6.181089295158679,9.40761011079723]
		[TRIGGERPRI,#,#]	[5.731312750593039,6.2026612617303964,9.40393474915592]
		[TRIGGERPRI,JJ,NN]	[5.729653103286509,6.224233228302114,9.400259387514613]
	cluster25	[TRIGGERPRI,NN,@]	[7.100463558736179,9.080016119317484,12.460494292678224]
	cluster26	[TRIGGERPRI,VBD,VBN]	[6.296532892612053,7.001858495646609,10.660134096840487]
	cluster27	[TRIGGERPRI,VBP,DT]	[4.059234193096659,4.47691285223651,5.752031730460862]
		[TRIGGERPRI,DT,CD]	[4.062468781521082,4.477760019042922,5.758974300021379]
		[TRIGGERPRI,#,#]	[4.06085148730887,4.477336435639716,5.75550301524112]
	cluster28	[TRIGGERPRI,PROTEINT,DT]	[5.406614649389926,8.14377393051322,8.686501545245623]
	cluster29	[TRIGGERPRI,NN,DT]	[4.437665867835953,6.251693976716627,6.568073390957878]
	cluster30	[TRIGGERPRI,VBG,NNS]	[4.289929269845132,4.639909316592477,6.248618140290359]
	cluster31	[TRIGGERPRI,NN,VBZ]	[5.6597218601947965,7.555528515421763,9.245470419109274]
	cluster32	[TRIGGERPRI,WDT,IN]	[3.373629221850972,3.629062021473195,4.2955600077356]
		[TRIGGERPRI,#,#]	[3.375143458341431,3.7031363152087797,4.298739437035883]
		[TRIGGERPRI,DT,RB]	[3.3766576948318905,3.7772106089443644,4.301918866336167]
	cluster33	[TRIGGERPRI,IN,DT]	[6.814958534964936,7.936072517589565,11.8194625465364]
	cluster34	[TRIGGERPRI,VBZ,RB]	[4.992510836963623,5.979704343685212,7.776644908205045]
	cluster35	[TRIGGERPRI,VBN,IN]	[5.408298322251049,5.854869076470429,8.690213006262987]
	cluster36	[TRIGGERPRI,PROTEINT,VBP]	[5.176183793428244,7.892786844542169,8.179451483343755]
	cluster37	[TRIGGERPRI,DT,JJ]	[5.3030991505000635,5.74140493301735,8.458495845015886]
	cluster38	[TRIGGERPRI,#,#]	[4.925019229495027,5.320840013929883,7.628951367448019]
		[TRIGGERPRI,DT,NN]	[4.9255627225049174,5.357257857582112,7.630139992815876]
		[TRIGGERPRI,CD,PROTEINT]	[4.924475736485137,5.2844221702776535,7.627762742080162]
	cluster39	[TRIGGERPRI,CC,RB]	[6.388349879450746,8.783677199983137,10.864992794790119]
	cluster40	[TRIGGERPRI,NN,RB]	[4.492082873507517,6.310031425229237,6.686007003462546]
	cluster41	[TRIGGERPRI,NN,PROTEINT]	[5.737563227409868,7.638196929600019,9.417777244038112]
	cluster42	[TRIGGERPRI,VBZ,PROTEINT]	[5.141689176847305,6.134560189169121,8.103708000916415]
	cluster43	[TRIGGERPRI,VBD,IN]	[4.455564008571473,5.11321271912764,6.606847159530345]
		[TRIGGERPRI,RB,VBN]	[4.452848818425625,4.7829985137502735,6.600964108396957]
		[TRIGGERPRI,#,#]	[4.454206413498549,4.948105616438957,6.603905633963651]
